Date of event
12.11.19
05.05.19
24.08.14
21.08.14
10.08.14
03.08.14
25.07.14
21.07.14
12.07.14
10.07.14
08.07.14
27.06.14
11.06.14
22.01.14
30.04.13
19.11.12
18.11.12
17.11.12
16.11.12
15.11.12
14.11.12
13.10.12
07.10.12
19.09.12
03.08.12
20.06.12
10.03.12
09.03.12
08.12.11
29.10.11
24.08.11
19.08.11
18.08.11
11.01.11
17.11.10
03.11.10
04.03.09
27.01.09
15.01.09
01.05.08
14.04.08
01.03.08
04.02.08
17.01.08
13.01.08
17.12.07
03.11.07
23.10.07
26.07.07
01.06.07
20.05.07
08.11.06
05.09.06
09.08.06
16.06.06
05.06.06
20.05.06
08.04.06
06.03.06
07.02.06
06.02.06
05.02.06
02.01.06
14.12.05
08.12.05
07.12.05
01.11.05
27.10.05
25.09.05
17.07.05
15.07.05
21.10.04
05.10.04
02.10.04
28.09.04
20.09.04
19.09.04
13.09.04
29.07.04
22.07.04
14.06.04
30.05.04
17.04.04
22.03.04
03.03.04
28.02.04
07.02.04
02.02.04
25.12.03
28.10.03
20.10.03
01.09.03
30.08.03
28.08.03
26.08.03
24.08.03
21.08.03
21.06.03
13.06.03
12.06.03
11.06.03
09.05.03
29.04.03
10.04.03
08.04.03
25.03.03
08.03.03
16.02.03
30.01.03
23.12.02
04.12.02
26.11.02
04.11.02
13.10.02
07.08.02
22.07.02
24.06.02
17.06.02
22.05.02
22.04.02
05.04.02
14.03.02
05.03.02
16.02.02
04.02.02
25.01.02
14.01.02
23.11.01
01.11.01
31.10.01
22.10.01
18.10.01
16.10.01
15.10.01
14.10.01
06.09.01
27.08.01
15.08.01
05.08.01
31.07.01
25.07.01
17.07.01
13.07.01
01.07.01
25.06.01
12.05.01
05.05.01
05.04.01
02.04.01
19.02.01
13.02.01
31.12.00
14.12.00
13.12.00
12.12.00
11.12.00
23.11.00
22.11.00
09.11.00
