date,daily_wod_nc,daily_wod,length_disasters_news,interpolated_news,any_disaster_news,disaster_onset,ln_victims_disaster,year,month,dow,monthyear,daily_wod_nc_nk,daily_wod_nk,any_disaster_news_nk,disaster_onset_nk,ln_victims_disaster_nk,length_disasters_news_nk
2000-11-02,0.9166667,0.9166667,0.0,0.0,0.0,1.0,0.0,2000.0,Nov,Thursday,2000-11-01,0.9166667,0.9166667,0.0,1.0,0.0,0.0
2000-11-03,1.25,1.25,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Friday,2000-11-01,1.25,1.25,0.0,0.0,0.0,0.0
2000-11-04,1.2,1.2,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Saturday,2000-11-01,1.2,1.2,0.0,0.0,0.0,0.0
2000-11-05,1.15,1.15,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Sunday,2000-11-01,1.15,1.15,0.0,0.0,0.0,0.0
2000-11-06,1.4,1.4,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Monday,2000-11-01,1.4,1.4,0.0,0.0,0.0,0.0
2000-11-07,1.25,1.25,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Tuesday,2000-11-01,1.25,1.25,0.0,0.0,0.0,0.0
2000-11-08,1.6333333,1.6333333,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Wednesday,2000-11-01,1.6333333,1.6333333,0.0,0.0,0.0,0.0
2000-11-09,1.5833334,1.5833334,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Thursday,2000-11-01,1.5833334,1.5833334,0.0,0.0,0.0,0.0
2000-11-10,1.5,1.5,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Friday,2000-11-01,1.5,1.5,0.0,0.0,0.0,0.0
2000-11-11,1.3097227,1.2973161,,1.0,,0.0,0.0,2000.0,Nov,Saturday,2000-11-01,1.3139603,1.2954346,,0.0,0.0,
2000-11-12,1.0833334,1.0833334,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Sunday,2000-11-01,1.0833334,1.0833334,0.0,0.0,0.0,0.0
2000-11-13,1.6,1.6,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Monday,2000-11-01,1.6,1.6,0.0,0.0,0.0,0.0
2000-11-14,1.55,1.55,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Tuesday,2000-11-01,1.55,1.55,0.0,0.0,0.0,0.0
2000-11-15,1.6666666,1.6666666,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Wednesday,2000-11-01,1.6666666,1.6666666,0.0,0.0,0.0,0.0
2000-11-16,1.5,1.5,0.0,0.0,0.0,1.0,2.5649493,2000.0,Nov,Thursday,2000-11-01,1.5,1.5,0.0,1.0,2.5649493,0.0
2000-11-17,1.3833333,1.3833333,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Friday,2000-11-01,1.3833333,1.3833333,0.0,0.0,0.0,0.0
2000-11-18,1.4166666,1.4166666,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Saturday,2000-11-01,1.4166666,1.4166666,0.0,0.0,0.0,0.0
2000-11-19,1.4833333,1.4833333,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Sunday,2000-11-01,1.4833333,1.4833333,0.0,0.0,0.0,0.0
2000-11-20,1.9166666,1.9166666,0.0,0.0,0.0,1.0,0.0,2000.0,Nov,Monday,2000-11-01,1.9166666,1.9166666,0.0,1.0,0.0,0.0
2000-11-21,1.2333333,1.2333333,0.083333336,0.0,1.0,0.0,0.0,2000.0,Nov,Tuesday,2000-11-01,1.2333333,1.2333333,1.0,0.0,0.0,0.083333336
2000-11-22,1.65,1.65,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Wednesday,2000-11-01,1.65,1.65,0.0,0.0,0.0,0.0
2000-11-23,1.0333333,1.0333333,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Thursday,2000-11-01,1.0333333,1.0333333,0.0,0.0,0.0,0.0
2000-11-24,1.725,1.725,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Friday,2000-11-01,1.725,1.725,0.0,0.0,0.0,0.0
2000-11-25,1.6166667,1.6166667,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Saturday,2000-11-01,1.6166667,1.6166667,0.0,0.0,0.0,0.0
2000-11-26,1.8333334,1.8333334,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Sunday,2000-11-01,1.8333334,1.8333334,0.0,0.0,0.0,0.0
2000-11-27,1.7166667,1.7166667,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Monday,2000-11-01,1.7166667,1.7166667,0.0,0.0,0.0,0.0
2000-11-28,1.45,1.45,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Tuesday,2000-11-01,1.45,1.45,0.0,0.0,0.0,0.0
2000-11-29,1.6333333,1.6333333,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Wednesday,2000-11-01,1.6333333,1.6333333,0.0,0.0,0.0,0.0
2000-11-30,1.1333333,1.1333333,0.0,0.0,0.0,0.0,0.0,2000.0,Nov,Thursday,2000-11-01,1.1333333,1.1333333,0.0,0.0,0.0,0.0
2000-12-01,1.3333334,1.3333334,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Friday,2000-12-01,1.3333334,1.3333334,0.0,0.0,0.0,0.0
2000-12-02,1.4583334,1.4583334,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Saturday,2000-12-01,1.4583334,1.4583334,0.0,0.0,0.0,0.0
2000-12-03,1.325,1.325,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Sunday,2000-12-01,1.325,1.325,0.0,0.0,0.0,0.0
2000-12-04,1.3833333,1.3833333,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Monday,2000-12-01,1.3833333,1.3833333,0.0,0.0,0.0,0.0
2000-12-05,1.2166667,1.2166667,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Tuesday,2000-12-01,1.2166667,1.2166667,0.0,0.0,0.0,0.0
2000-12-06,1.05,1.05,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Wednesday,2000-12-01,1.05,1.05,0.0,0.0,0.0,0.0
2000-12-07,1.1,1.1,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Thursday,2000-12-01,1.1,1.1,0.0,0.0,0.0,0.0
2000-12-08,1.8333334,1.8333334,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Friday,2000-12-01,1.8333334,1.8333334,0.0,0.0,0.0,0.0
2000-12-09,1.6166667,1.6166667,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Saturday,2000-12-01,1.6166667,1.6166667,0.0,0.0,0.0,0.0
2000-12-10,1.1333333,1.1333333,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Sunday,2000-12-01,1.1333333,1.1333333,0.0,0.0,0.0,0.0
2000-12-11,1.5666667,1.5666667,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Monday,2000-12-01,1.5666667,1.5666667,0.0,0.0,0.0,0.0
2000-12-12,1.3,1.3,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Tuesday,2000-12-01,1.3,1.3,0.0,0.0,0.0,0.0
2000-12-13,1.5666667,1.5666667,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Wednesday,2000-12-01,1.5666667,1.5666667,0.0,0.0,0.0,0.0
2000-12-14,1.2666667,1.2666667,0.0,0.0,0.0,0.0,0.0,2000.0,Dec,Thursday,2000-12-01,1.2666667,1.2666667,0.0,0.0,0.0,0.0
